,0
1627,19.3K
1628,79.5K
1629,2.5M
1630,32.5K
1631,130.6K
1632,12.7K
1633,59.1K
1634,82.8K
1635,39.1K
1636,1.5M
1637,93.8K
1638,1243
1639,68.4K
1640,99.3K
1641,65.6K
1642,105.8K
1643,2085
1644,20.6K
1645,30.4K
1646,13.3K
1647,156.9K
1648,141.3K
1649,302.3K
1650,392.4K
1651,188.1K
1652,289.3K
1653,169.9K
1654,359.1K
1655,228.7K
1656,138.5K
1657,41.7K
1658,586.4K
1659,154.8K
1660,215.6K
1661,109.9K
1662,35.9K
1663,121.9K
1664,44.3K
1665,329.1K
1666,52.4K
1667,392.9K
1668,62.5K
1669,73.9K
1670,548.3K
1671,18.1K
1672,145K
1673,95.5K
1674,68.9K
1675,262.6K
1676,19.4K
1677,169.4K
1678,701
1679,323.2K
1680,43.2K
1681,364.2K
1682,413.2K
1683,93.8K
1684,56.6K
1685,4345
1686,215.3K
1687,1962
1688,94K
1689,27.1K
1690,22.2K
1691,94.5K
1692,87.4K
1693,39.1K
1694,911.8K
1695,1.1M
1696,186.3K
1697,370.6K
1698,18.1K
1699,231.4K
1700,176.5K
1701,209.7K
1702,41.6K
1703,403.3K
1704,248.5K
1705,167.7K
1706,130.4K
1707,108K
1708,17
1709,280.5K
1710,746.7K
1711,5604
1712,219K
1713,57.8K
1714,120.2K
1715,218.8K
1716,349K
1717,80K
1718,8462
1719,47.8K
1720,307.8K
1721,348.9K
1722,124.1K
1723,92.1K
1724,1328
1725,164.6K
1726,378.9K
1727,409K
1728,97.5K
1729,95.9K
1730,927.8K
1731,8014
1732,3672
1733,58.4K
1734,129K
1735,77.4K
1736,517.9K
1737,264.1K
1738,599.4K
1739,62.2K
1740,1.1M
1741,120.6K
1742,34.2K
1743,16.3K
1744,14.3K
1745,359.9K
1746,111.7K
1747,87.6K
1748,54.2K
1749,376.5K
1750,261.2K
1751,7180
1752,360.2K
1753,1171
1754,311.6K
1755,38.8K
1756,157.7K
1757,699.8K
1758,16K
1759,389.2K
1760,76.5K
1761,207.6K
1762,382.8K
1763,36.4K
1764,589K
1765,118.1K
1766,13.9K
1767,160.2K
1768,268.9K
1769,599.4K
1770,3426
1771,654.9K
1772,46.1K
1773,82.3K
1774,234.8K
1775,699
1776,64.3K
1777,10.6K
1778,191K
1779,29.3K
1780,23.5K
1781,276.7K
1782,271.1K
1783,101.7K
1784,13.6K
1785,181.5K
1786,45.2K
1787,726
1788,22.2K
1789,15.1K
1790,50.7K
1791,5316
1792,39K
1793,63.3K
1794,55.3K
1795,191.5K
1796,218.8K
1797,5901
1798,92.1K
1799,613.9K
1800,769.9K
1801,59.2K
1802,77.3K
1803,868.8K
1804,829K
1805,681.2K
1806,236.8K
1807,70.4K
1808,425.5K
1809,136.2K
1810,359.3K
1811,599.6K
1812,831.1K
1813,25.5K
1814,965.8K
1815,420.1K
1816,370.1K
1817,202.2K
1818,451.8K
1819,800.4K
1820,525.8K
1821,158.8K
1822,153K
1823,5810
1824,283.8K
1825,734.6K
1826,137.3K
1827,282.6K
1828,81.7K
1829,109.8K
1830,91K
1831,17K
1832,77.5K
1833,136.8K
1834,271.7K
1835,21
1836,35.8K
1837,177.3K
1838,170.2K
1839,345
1840,129.8K
1841,73.2K
1842,353K
1843,38.5K
1844,400K
1845,233.2K
1846,6463
1847,117.6K
1848,153.1K
1849,244.7K
1850,370.1K
1851,136.7K
1852,215.7K
1853,278.7K
1854,755.2K
1855,239.8K
1856,277.2K
1857,183.4K
1858,233.1K
1859,418.9K
1860,435.6K
1861,28.7K
1862,236.1K
1863,1.2M
1864,131.8K
1865,365.5K
1866,123.3K
1867,310.1K
1868,247.7K
1869,551.9K
1870,77K
1871,99K
